study_hours,sleep_hours,phone_usage_hours,stress_level,mood,burnout_risk,productivity_score
5.243561663863074,4.61705683735906,5.719958782835928,1,0,High,36.40020608582036
13.310000289738827,4.469787990719999,8.054323292999863,1,2,High,0.0
10.247915185359671,11.062545805210366,7.60160929790159,3,2,Medium,15.75237758369369
8.381218778758512,4.4954619984950615,1.5389990469377368,5,2,High,48.09390610620744
2.1842609661941115,4.71949726128631,1.492494697414739,5,0,High,50.0
2.183923284706837,9.593982624179636,2.6817436774491332,3,2,Low,70.0
0.8131705703547925,6.4973984245054,3.610747263410372,4,1,Low,36.94626368294814
12.126466040849092,9.767105569551813,4.084555814084826,1,0,Medium,3.94489072533041
8.415610164404923,2.653661575643852,6.796972168333452,1,2,High,28.937088336308122
9.913016089144637,6.875711936733843,0.566804321658354,3,1,Low,30.434919554276814
0.28818292014123426,2.336136001832826,0.34672704226066386,3,1,Medium,40.0
13.57873793026792,2.626532034553545,3.9191056294390902,4,0,High,0.0
11.654196971205904,11.06437453344411,6.971636921379805,5,1,High,1.8708305370714555
2.972747549495866,3.3924537111759516,1.9343534295648257,2,2,Medium,70.0
2.5455495408994087,7.324206822752171,6.415044812562517,5,1,Medium,72.92477593718742
2.5676631379480734,6.110956026007066,2.5982813794029944,1,1,Low,60.0
4.259391401433528,5.4734332625884266,8.860861088135163,3,0,High,20.695694559324185
7.3465900428513295,10.998333456872725,8.956899442666165,4,1,Medium,30.215502786669177
6.047230260989621,2.218233967754895,2.9728720428132647,5,1,High,60.0
4.077207962772587,8.637896861755891,2.2999375396324053,4,1,Low,90.0
8.565940526113312,11.633944342135504,4.113039720662313,5,1,Medium,31.605098766121877
1.9529140491285857,7.60168183461842,2.405315851801487,1,0,Low,60.0
4.090025079493055,11.368224620330919,6.723838432917036,2,2,Low,51.38080783541482
5.129065806111684,2.5225787928602377,8.260646845482855,4,1,High,33.69676577258573
6.384979779038503,6.187933190741614,6.73092130911217,4,1,Medium,41.34539345443915
10.99246345950219,4.601577909620511,8.243504472493495,2,1,High,0.0
2.7954329502170365,9.308209649807297,3.9699216220747413,4,1,Low,55.15039188962629
7.199282137790562,11.812970904972467,1.5631697070886086,4,2,Low,70.0
8.293803964068594,4.565300624442478,7.379509473975921,5,2,High,26.63343280977742
0.6503057780799681,8.541746014740745,3.604745051415539,5,1,Low,66.9762747429223
8.505627926620138,3.9809763275974013,6.712708252291325,2,2,High,28.90831910544269
2.3873377316220816,7.653302545716099,2.7064394198176567,1,1,Low,90.0
0.9107223017939132,6.639324866883362,0.8122963480667267,4,0,Medium,30.0
13.284397521546666,11.72005329631537,9.925817954877633,1,1,Medium,0.0
13.518848463043831,8.085272726964666,1.5620150793059928,2,1,Low,42.405757684780845
11.317562873630456,5.495063720868188,9.884209939634811,2,1,High,0.0
4.26459276842719,3.1409578488793337,9.772799325664472,5,2,High,36.13600337167764
1.3674095960893742,3.5124682873493454,7.938181039080396,4,1,High,15.309094804598018
9.579262371170197,4.253169299512351,6.594229620819975,3,2,High,24.132540040049143
6.162134912354418,4.50966661340298,5.778070502510847,2,2,Medium,56.10964748744577
1.7085352878269036,10.506160578411379,8.661015453778347,4,1,Medium,11.694922731108264
6.932476741557783,7.612227882825249,2.894395216194879,1,1,Low,90.0
0.48143929561305754,7.233909113743664,4.67681212484877,5,1,Low,61.61593937575615
12.73048562910295,3.1476887186921747,6.193899693665019,1,2,High,10.378073386160159
3.622919742400237,10.60139693349435,4.1119047586949105,2,1,Low,54.440476206525446
9.275311980955747,9.228143032084837,4.27486454090268,2,0,Medium,17.249117390707863
4.363955065251753,2.676683619000016,3.3028466750208443,1,1,Medium,58.48576662489578
